nces_id,name,city,state,county_fips,county_name,school_type,grade_range,enrollment,title_i,latitude,longitude
010016400,Twain Junior High School,Plymouth,AL,01001,Washington County,Regular,PK-5,166,No,31.90091,-86.91854
010012923,Ridgewood Preparatory School,Chester,AL,01001,Washington County,Charter,6-8,1024,No,32.08312,-87.04729
010015054,Heritage Junior High School,Vernon,AL,01001,Washington County,Regular,9-12,455,No,31.8256,-87.11713
010019525,Cedar Middle School,Newport,AL,01001,Washington County,Magnet,PK-5,961,No,31.56326,-87.02797
010011356,Riverside Preparatory School,Troy,AL,01001,Washington County,Regular,K-8,132,No,31.85569,-87.30703
010023948,Innovation High School,Richmond,AL,01002,Jefferson County,Magnet,6-8,1841,No,32.42481,-86.60271
010029802,Riverside Primary School,Fairview,AL,01002,Jefferson County,Charter,6-8,1032,Yes,32.28281,-86.24511
010022848,Jefferson Charter School,Lexington,AL,01002,Jefferson County,Magnet,PK-5,184,No,31.95275,-86.77166
010024559,Discovery Elementary School,Fairview,AL,01002,Jefferson County,Regular,9-12,2183,No,31.9696,-86.28236
010029540,Edison Charter School,Ashland,AL,01002,Jefferson County,Regular,K-12,1247,Yes,32.16313,-86.4772
010039592,Westside Charter School,Easton,AL,01003,Franklin County,Regular,6-8,731,No,31.77118,-87.00755
010037824,Sunset Primary School,Fairview,AL,01003,Franklin County,Magnet,PK-5,1710,No,31.6983,-87.26204
010031647,Central Middle School,Madison,AL,01003,Franklin County,Regular,K-8,1008,No,31.67063,-86.91598
010034350,Riverside Academy,Jamestown,AL,01003,Franklin County,Regular,K-8,1437,No,31.7737,-87.14001
010036246,Greenfield Academy,Chester,AL,01003,Franklin County,Regular,K-12,1401,No,31.57273,-86.94175
010044768,Lakeview Junior High School,Troy,AL,01004,Lincoln County,Regular,K-8,1126,No,32.95529,-85.54572
010046770,Monroe High School,Plymouth,AL,01004,Lincoln County,Regular,K-12,2358,No,32.73533,-85.57818
010043252,Pioneer Academy,Greenville,AL,01004,Lincoln County,Charter,PK-5,738,Yes,32.75613,-85.83819
010047739,Washington Elementary School,Hartford,AL,01004,Lincoln County,Magnet,K-12,1245,No,32.63519,-85.62391
010049625,Whitman Magnet School,Arlington,AL,01004,Lincoln County,Regular,9-12,1745,Yes,32.84873,-85.86818
020011519,Martin Luther King Jr. Charter School,Dayton,AK,02001,Madison County,Regular,K-5,1664,No,64.78647,-151.69483
020019653,Greenfield Elementary School,Georgetown,AK,02001,Madison County,Regular,K-12,985,No,64.91546,-151.146
020013362,Discovery Charter School,York,AK,02001,Madison County,Charter,6-8,435,No,64.85027,-151.55622
020016666,Franklin Middle School,Easton,AK,02001,Madison County,Magnet,9-12,1070,Yes,64.95716,-151.2391
020017150,Maple High School,Newport,AK,02001,Madison County,Regular,K-5,1676,Yes,65.2161,-151.52327
020022745,Martin Luther King Jr. Elementary School,Ashland,AK,02002,Jackson County,Regular,PK-5,1941,No,64.61871,-153.72526
020026315,Central Charter School,Springfield,AK,02002,Jackson County,Regular,9-12,1315,No,64.39458,-153.73578
020022036,Monroe Charter School,Arlington,AK,02002,Jackson County,Regular,K-8,1844,No,64.45244,-153.74045
020027483,Eastside Junior High School,Dayton,AK,02002,Jackson County,Charter,K-12,1469,No,64.36274,-153.29731
020026228,Hawthorne Elementary,Kingston,AK,02002,Jackson County,Regular,6-8,1112,No,64.38753,-153.2967
020038563,Freedom Academy,Farmington,AK,02003,Marion County,Magnet,6-8,1313,Yes,65.21418,-151.49461
020038357,Highland Elementary,Kingston,AK,02003,Marion County,Charter,K-8,1761,No,65.04899,-151.49757
020031725,Meadow Charter School,Richmond,AK,02003,Marion County,Charter,K-5,1478,No,64.78637,-151.91284
020039199,Jackson Magnet School,Springfield,AK,02003,Marion County,Regular,PK-5,2097,Yes,64.90006,-151.41967
020036706,Elm Middle School,Farmington,AK,02003,Marion County,Regular,K-12,1973,No,64.7631,-151.94519
020049454,Hamilton Primary School,Clinton,AK,02004,Clay County,Regular,6-8,1475,No,63.78538,-152.66319
020048037,Lakeview Elementary School,Oxford,AK,02004,Clay County,Charter,PK-5,999,No,63.37731,-152.38004
020049019,Magnolia Magnet School,Lexington,AK,02004,Clay County,Charter,6-8,1711,No,63.5625,-152.59355
020046131,Adams Academy,Ashland,AK,02004,Clay County,Magnet,6-8,599,No,63.43428,-152.71748
020043838,Sunset High School,Glen Cove,AK,02004,Clay County,Regular,9-12,1303,No,63.32256,-152.29711
040019109,Oakwood Elementary,Easton,AZ,04001,Monroe County,Regular,K-5,1938,No,33.62855,-110.81016
040019115,Sunset Primary School,Bristol,AZ,04001,Monroe County,Charter,K-8,587,No,33.99327,-110.65543
040015055,Twain Elementary School,Farmington,AZ,04001,Monroe County,Regular,PK-5,1196,No,34.04552,-111.09721
040013281,Achievement Academy,Troy,AZ,04001,Monroe County,Charter,9-12,967,Yes,33.87024,-110.83003
040012560,Madison Charter School,York,AZ,04001,Monroe County,Regular,K-5,362,No,34.04843,-111.07327
040025402,Ridgewood Charter School,Dayton,AZ,04002,Grant County,Magnet,PK-5,1971,Yes,34.78118,-111.10542
040021040,Central Middle School,Plymouth,AZ,04002,Grant County,Regular,6-8,1997,No,34.91106,-111.15609
040023139,Meadow Elementary,Salem,AZ,04002,Grant County,Regular,6-8,1527,Yes,34.42857,-111.25779
040023161,Spring Preparatory School,Clinton,AZ,04002,Grant County,Regular,K-8,1242,Yes,34.79375,-111.48327
040022559,Washington Academy,Glen Cove,AZ,04002,Grant County,Regular,6-8,439,No,34.75721,-111.32183
040034751,Lakeview Middle School,Plymouth,AZ,04003,Hamilton County,Magnet,K-5,539,Yes,34.32411,-110.76051
040031138,Hillcrest High School,Farmington,AZ,04003,Hamilton County,Charter,6-8,1558,No,34.51295,-111.19828
040037291,Northview Charter School,Burlington,AZ,04003,Hamilton County,Charter,9-12,692,No,34.30228,-111.23855
