fips,county_name,state,brief,generated_at
01001,Washington County,AL,"## Washington County, Alabama

**Overall Score: 48.0/100 (At Risk)**

Washington County faces notable challenges that require coordinated intervention. With a population of 943,518 and 72 public schools, the county ranks in the bottom half nationally.

**Key Findings:**
- Education score: 46.6/100
- Health & resource access: 44.9/100
- Environmental quality: 55.3/100
- Safety index: 47.1/100

**Year-over-Year Change:** -4.7 points

**Recommendation:** Prioritize funding for health infrastructure and school resource programs. Coordinate with state agencies for environmental remediation.",2026-03-25T23:12:38.028607
01002,Jefferson County,AL,"## Jefferson County, Alabama

**Overall Score: 59.7/100 (Moderate)**

Jefferson County shows solid fundamentals with room for targeted improvement. With a population of 579,412 and 56 public schools, the county ranks in the top half nationally.

**Key Findings:**
- Education score: 60.7/100
- Health & resource access: 55.3/100
- Environmental quality: 60.6/100
- Safety index: 62.9/100

**Year-over-Year Change:** +5.3 points

**Recommendation:** Maintain current programs and share best practices with neighboring counties.",2026-03-28T23:12:38.028607
01003,Franklin County,AL,"## Franklin County, Alabama

**Overall Score: 50.6/100 (Moderate)**

Franklin County shows solid fundamentals with room for targeted improvement. With a population of 808,581 and 46 public schools, the county ranks in the bottom half nationally.

**Key Findings:**
- Education score: 49.7/100
- Health & resource access: 53.9/100
- Environmental quality: 38.5/100
- Safety index: 48.4/100

**Year-over-Year Change:** +2.2 points

**Recommendation:** Maintain current programs and share best practices with neighboring counties.",2026-03-24T23:12:38.028607
01004,Lincoln County,AL,"## Lincoln County, Alabama

**Overall Score: 41.9/100 (At Risk)**

Lincoln County faces notable challenges that require coordinated intervention. With a population of 404,922 and 13 public schools, the county ranks in the bottom half nationally.

**Key Findings:**
- Education score: 47.6/100
- Health & resource access: 39.6/100
- Environmental quality: 45.5/100
- Safety index: 38.4/100

**Year-over-Year Change:** +1.0 points

**Recommendation:** Prioritize funding for health infrastructure and school resource programs. Coordinate with state agencies for environmental remediation.",2026-03-24T23:12:38.028607
02001,Madison County,AK,"## Madison County, Alaska

**Overall Score: 34.5/100 (At Risk)**

Madison County faces notable challenges that require coordinated intervention. With a population of 311,445 and 13 public schools, the county ranks in the bottom half nationally.

**Key Findings:**
- Education score: 23.7/100
- Health & resource access: 18.7/100
- Environmental quality: 29.0/100
- Safety index: 39.4/100

**Year-over-Year Change:** +1.2 points

**Recommendation:** Prioritize funding for health infrastructure and school resource programs. Coordinate with state agencies for environmental remediation.",2026-03-24T23:12:38.028607
02002,Jackson County,AK,"## Jackson County, Alaska

**Overall Score: 43.8/100 (At Risk)**

Jackson County faces notable challenges that require coordinated intervention. With a population of 743,911 and 12 public schools, the county ranks in the bottom half nationally.

**Key Findings:**
- Education score: 49.8/100
- Health & resource access: 44.8/100
- Environmental quality: 40.1/100
- Safety index: 37.4/100

**Year-over-Year Change:** +4.6 points

**Recommendation:** Prioritize funding for health infrastructure and school resource programs. Coordinate with state agencies for environmental remediation.",2026-03-26T23:12:38.028607
02003,Marion County,AK,"## Marion County, Alaska

**Overall Score: 53.9/100 (Moderate)**

Marion County shows solid fundamentals with room for targeted improvement. With a population of 725,870 and 44 public schools, the county ranks in the bottom half nationally.

**Key Findings:**
- Education score: 49.2/100
- Health & resource access: 30.0/100
- Environmental quality: 73.6/100
- Safety index: 48.2/100

**Year-over-Year Change:** -2.9 points

**Recommendation:** Maintain current programs and share best practices with neighboring counties.",2026-03-22T23:12:38.028607
02004,Clay County,AK,"## Clay County, Alaska

**Overall Score: 55.5/100 (Moderate)**

Clay County shows solid fundamentals with room for targeted improvement. With a population of 926,938 and 43 public schools, the county ranks in the top half nationally.

**Key Findings:**
- Education score: 57.5/100
- Health & resource access: 50.3/100
- Environmental quality: 63.0/100
- Safety index: 59.5/100

**Year-over-Year Change:** +8.6 points

**Recommendation:** Maintain current programs and share best practices with neighboring counties.",2026-03-26T23:12:38.028607
04001,Monroe County,AZ,"## Monroe County, Arizona

**Overall Score: 69.0/100 (Moderate)**

Monroe County shows solid fundamentals with room for targeted improvement. With a population of 791,300 and 77 public schools, the county ranks in the top half nationally.

**Key Findings:**
- Education score: 61.4/100
- Health & resource access: 70.5/100
- Environmental quality: 73.9/100
- Safety index: 68.8/100

**Year-over-Year Change:** -3.9 points

**Recommendation:** Maintain current programs and share best practices with neighboring counties.",2026-03-29T23:12:38.028607
04002,Grant County,AZ,"## Grant County, Arizona

**Overall Score: 22.8/100 (Critical)**

Grant County is in critical need of immediate, multi-sector support. With a population of 168,265 and 23 public schools, the county ranks in the bottom half nationally.

**Key Findings:**
- Education score: 43.8/100
- Health & resource access: 28.3/100
- Environmental quality: 31.8/100
- Safety index: 23.3/100

**Year-over-Year Change:** -6.4 points

**Recommendation:** Prioritize funding for health infrastructure and school resource programs. Coordinate with state agencies for environmental remediation.",2026-03-25T23:12:38.028607
04003,Hamilton County,AZ,"## Hamilton County, Arizona

**Overall Score: 66.6/100 (Moderate)**

Hamilton County shows solid fundamentals with room for targeted improvement. With a population of 20,038 and 17 public schools, the county ranks in the top half nationally.

**Key Findings:**
- Education score: 69.7/100
- Health & resource access: 76.9/100
- Environmental quality: 67.4/100
- Safety index: 80.3/100

**Year-over-Year Change:** -0.8 points

**Recommendation:** Maintain current programs and share best practices with neighboring counties.",2026-03-26T23:12:38.028607
04004,Greene County,AZ,"## Greene County, Arizona

**Overall Score: 51.9/100 (Moderate)**

Greene County shows solid fundamentals with room for targeted improvement. With a population of 926,398 and 36 public schools, the county ranks in the bottom half nationally.

**Key Findings:**
- Education score: 63.3/100
- Health & resource access: 58.0/100
- Environmental quality: 59.1/100
- Safety index: 35.3/100

**Year-over-Year Change:** +3.0 points

**Recommendation:** Maintain current programs and share best practices with neighboring counties.",2026-03-22T23:12:38.028607
05001,Union County,AR,"## Union County, Arkansas

**Overall Score: 44.4/100 (At Risk)**

Union County faces notable challenges that require coordinated intervention. With a population of 400,077 and 23 public schools, the county ranks in the bottom half nationally.

**Key Findings:**
- Education score: 44.2/100
- Health & resource access: 28.8/100
- Environmental quality: 33.1/100
- Safety index: 39.7/100

**Year-over-Year Change:** +0.4 points

**Recommendation:** Prioritize funding for health infrastructure and school resource programs. Coordinate with state agencies for environmental remediation.",2026-03-23T23:12:38.028607
05002,Warren County,AR,"## Warren County, Arkansas

**Overall Score: 50.5/100 (Moderate)**

Warren County shows solid fundamentals with room for targeted improvement. With a population of 880,064 and 42 public schools, the county ranks in the bottom half nationally.

**Key Findings:**
- Education score: 50.5/100
- Health & resource access: 47.6/100
- Environmental quality: 53.1/100
- Safety index: 63.5/100

**Year-over-Year Change:** -2.6 points

**Recommendation:** Maintain current programs and share best practices with neighboring counties.",2026-03-26T23:12:38.028607
05003,Clark County,AR,"## Clark County, Arkansas

**Overall Score: 45.8/100 (At Risk)**

Clark County faces notable challenges that require coordinated intervention. With a population of 139,869 and 19 public schools, the county ranks in the bottom half nationally.

**Key Findings:**
- Education score: 44.5/100
- Health & resource access: 41.7/100
- Environmental quality: 30.4/100
- Safety index: 54.4/100

**Year-over-Year Change:** -0.1 points

**Recommendation:** Prioritize funding for health infrastructure and school resource programs. Coordinate with state agencies for environmental remediation.",2026-03-28T23:12:38.028607
05004,Montgomery County,AR,"## Montgomery County, Arkansas

**Overall Score: 59.7/100 (Moderate)**

Montgomery County shows solid fundamentals with room for targeted improvement. With a population of 731,378 and 28 public schools, the county ranks in the top half nationally.

**Key Findings:**
- Education score: 68.2/100
- Health & resource access: 37.5/100
- Environmental quality: 46.3/100
- Safety index: 70.3/100

**Year-over-Year Change:** -2.0 points

**Recommendation:** Maintain current programs and share best practices with neighboring counties.",2026-03-24T23:12:38.028607
06001,Adams County,CA,"## Adams County, California

**Overall Score: 48.6/100 (At Risk)**

Adams County faces notable challenges that require coordinated intervention. With a population of 30,056 and 78 public schools, the county ranks in the bottom half nationally.

**Key Findings:**
- Education score: 41.8/100
- Health & resource access: 55.5/100
- Environmental quality: 43.8/100
- Safety index: 48.6/100

**Year-over-Year Change:** +1.8 points

**Recommendation:** Prioritize funding for health infrastructure and school resource programs. Coordinate with state agencies for environmental remediation.",2026-03-24T23:12:38.028607
06002,Carroll County,CA,"## Carroll County, California

**Overall Score: 76.9/100 (Thriving)**

Carroll County continues to demonstrate strong outcomes across all pillars. With a population of 547,131 and 33 public schools, the county ranks in the top half nationally.

**Key Findings:**
- Education score: 77.5/100
- Health & resource access: 78.4/100
- Environmental quality: 79.2/100
- Safety index: 83.1/100

**Year-over-Year Change:** +1.1 points

**Recommendation:** Maintain current programs and share best practices with neighboring counties.",2026-03-23T23:12:38.028607
06003,Henry County,CA,"## Henry County, California

**Overall Score: 33.2/100 (At Risk)**

Henry County faces notable challenges that require coordinated intervention. With a population of 434,833 and 27 public schools, the county ranks in the bottom half nationally.

**Key Findings:**
- Education score: 30.1/100
- Health & resource access: 40.9/100
- Environmental quality: 26.3/100
- Safety index: 33.6/100

**Year-over-Year Change:** +4.5 points

**Recommendation:** Prioritize funding for health infrastructure and school resource programs. Coordinate with state agencies for environmental remediation.",2026-03-22T23:12:38.028607
