school_name,state,composite_score,score_change_1y,z_score,anomaly_type,narrative,detected_at
Autumn Magnet School,MS,54.4,-12.9,-4.29,decline,Autumn Magnet School in MS experienced a 12.9-point decline in composite score. Key contributing factors include decreased environment and safety scores. Immediate attention is recommended.,2026-03-24T23:12:38.028607
Northview Charter School,AZ,36.3,-12.2,-3.89,decline,Northview Charter School in AZ experienced a 12.2-point decline in composite score. Key contributing factors include decreased environment and safety scores. Immediate attention is recommended.,2026-03-17T23:12:38.028607
Central Elementary,HI,55.0,-11.1,-3.5,decline,Central Elementary in HI experienced a 11.1-point decline in composite score. Key contributing factors include decreased environment and safety scores. Immediate attention is recommended.,2026-03-29T23:12:38.028607
Elm Primary School,WV,46.9,-10.9,-2.34,decline,Elm Primary School in WV experienced a 10.9-point decline in composite score. Key contributing factors include decreased environment and safety scores. Immediate attention is recommended.,2026-03-18T23:12:38.028607
Achievement Academy,AZ,75.8,17.8,3.92,improvement,"Achievement Academy in AZ showed a remarkable 17.8-point improvement in composite score, driven primarily by gains in education and health metrics. This improvement stands out significantly from peer schools.",2026-03-17T23:12:38.028607
Fairview Elementary,NJ,62.1,-7.2,-2.66,decline,Fairview Elementary in NJ experienced a 7.2-point decline in composite score. Key contributing factors include decreased environment and safety scores. Immediate attention is recommended.,2026-03-21T23:12:38.028607
Horizon Junior High School,WY,51.0,7.9,3.36,improvement,"Horizon Junior High School in WY showed a remarkable 7.9-point improvement in composite score, driven primarily by gains in education and health metrics. This improvement stands out significantly from peer schools.",2026-03-21T23:12:38.028607
Meadow Middle School,ME,87.8,7.3,3.25,improvement,"Meadow Middle School in ME showed a remarkable 7.3-point improvement in composite score, driven primarily by gains in education and health metrics. This improvement stands out significantly from peer schools.",2026-03-16T23:12:38.028607
Valley High School,IN,37.8,15.2,3.98,improvement,"Valley High School in IN showed a remarkable 15.2-point improvement in composite score, driven primarily by gains in education and health metrics. This improvement stands out significantly from peer schools.",2026-03-20T23:12:38.028607
Martin Luther King Jr. Academy,DE,63.2,-8.2,-2.01,decline,Martin Luther King Jr. Academy in DE experienced a 8.2-point decline in composite score. Key contributing factors include decreased environment and safety scores. Immediate attention is recommended.,2026-03-26T23:12:38.028607
Pleasant Academy,MA,74.5,-5.3,-2.29,decline,Pleasant Academy in MA experienced a 5.3-point decline in composite score. Key contributing factors include decreased environment and safety scores. Immediate attention is recommended.,2026-03-23T23:12:38.028607
Monroe Preparatory School,KS,52.1,-11.6,-3.21,decline,Monroe Preparatory School in KS experienced a 11.6-point decline in composite score. Key contributing factors include decreased environment and safety scores. Immediate attention is recommended.,2026-03-27T23:12:38.028607
