nces_id,school_name,state,county_fips,composite_score,education_score,health_score,environment_score,safety_score,category,national_rank,state_rank,score_change_1y,updated_at
210038861,Pine Preparatory School,KY,21003,100.0,100.0,100.0,100.0,100.0,thriving,1,1,6.1,2026-03-29T21:12:38.028607
560029841,Southfield Charter School,WY,56002,100.0,100.0,100.0,100.0,99.9,thriving,2,1,2.1,2026-03-29T21:12:38.028607
470047638,Discovery Preparatory School,TN,47004,99.4,100.0,100.0,96.7,100.0,thriving,3,1,-1.9,2026-03-29T21:12:38.028607
390021379,Madison Middle School,OH,39002,98.9,100.0,88.9,100.0,100.0,thriving,4,1,0.0,2026-03-29T21:12:38.028607
270042080,Eastside Middle School,MN,27004,96.4,100.0,99.7,100.0,97.3,thriving,5,1,-1.7,2026-03-29T21:12:38.028607
060016221,Whitman Middle School,CA,06001,96.3,86.4,80.1,100.0,100.0,thriving,6,1,-3.6,2026-03-29T21:12:38.028607
500033518,Oakwood Middle School,VT,50003,96.3,89.1,100.0,85.4,100.0,thriving,7,1,-0.5,2026-03-29T21:12:38.028607
090021144,Adams Magnet School,CT,09002,95.3,83.1,84.9,100.0,91.7,thriving,8,1,8.9,2026-03-29T21:12:38.028607
290021339,Adams Elementary School,MO,29002,94.5,96.7,98.1,94.4,93.9,thriving,9,1,-3.3,2026-03-29T21:12:38.028607
230032374,Centennial Primary School,ME,23003,94.0,86.5,90.3,94.1,100.0,thriving,10,1,-9.1,2026-03-29T21:12:38.028607
510045699,Kennedy Primary School,VA,51004,93.9,100.0,99.1,100.0,96.9,thriving,11,1,2.6,2026-03-29T21:12:38.028607
340044955,Freedom Preparatory School,NJ,34004,93.2,100.0,100.0,88.1,84.3,thriving,12,1,-4.5,2026-03-29T21:12:38.028607
510021693,Hamilton Charter School,VA,51002,93.1,87.5,96.2,94.6,87.2,thriving,13,2,3.2,2026-03-29T21:12:38.028607
230023755,Hawthorne High School,ME,23002,93.0,100.0,98.6,100.0,91.9,thriving,14,2,2.0,2026-03-29T21:12:38.028607
260048648,Monroe Elementary,MI,26004,92.9,100.0,100.0,97.7,89.3,thriving,15,1,3.8,2026-03-29T21:12:38.028607
530029523,Madison Primary School,WA,53002,92.3,89.8,81.5,89.4,100.0,thriving,16,1,1.7,2026-03-29T21:12:38.028607
280025667,Jefferson High School,MS,28002,92.2,85.0,99.7,100.0,80.1,thriving,17,1,0.5,2026-03-29T21:12:38.028607
190017109,Cedar Primary School,IA,19001,91.7,84.3,100.0,100.0,82.6,thriving,18,1,-1.1,2026-03-29T21:12:38.028607
240049773,Hawthorne High School,MD,24004,90.7,86.6,90.7,95.3,79.1,thriving,19,1,1.4,2026-03-29T21:12:38.028607
250032199,Ridgewood Elementary,MA,25003,89.8,100.0,81.1,100.0,86.8,thriving,20,1,0.4,2026-03-29T21:12:38.028607
160046640,Martin Luther King Jr. Junior High School,ID,16004,89.1,73.8,100.0,90.2,92.9,thriving,21,1,0.0,2026-03-29T21:12:38.028607
420023509,Pine Primary School,PA,42002,89.1,89.0,86.7,91.4,90.6,thriving,22,1,-1.8,2026-03-29T21:12:38.028607
420037688,Southfield Preparatory School,PA,42003,89.0,74.9,95.1,83.2,91.3,thriving,23,2,3.7,2026-03-29T21:12:38.028607
300034253,Roosevelt Junior High School,MT,30003,88.9,90.8,98.7,85.7,83.2,thriving,24,1,6.8,2026-03-29T21:12:38.028607
380049719,Emerson Magnet School,ND,38004,88.8,89.7,76.1,89.2,94.7,thriving,25,1,6.4,2026-03-29T21:12:38.028607
490019930,Fairview Academy,UT,49001,88.0,100.0,86.3,83.6,86.4,thriving,26,1,3.3,2026-03-29T21:12:38.028607
330024876,Kennedy High School,NH,33002,87.9,91.8,77.9,92.0,86.6,thriving,27,1,-0.4,2026-03-29T21:12:38.028607
410046763,Sunrise Elementary School,OR,41004,87.9,100.0,99.2,80.0,92.7,thriving,28,1,1.5,2026-03-29T21:12:38.028607
230039750,Meadow Middle School,ME,23003,87.8,87.7,89.7,99.2,93.2,thriving,29,3,-7.6,2026-03-29T21:12:38.028607
330034731,Lincoln Elementary School,NH,33003,87.8,93.3,83.2,79.8,83.9,thriving,30,2,1.3,2026-03-29T21:12:38.028607
340036596,Westside Middle School,NJ,34003,87.5,75.4,91.5,88.9,86.6,thriving,31,2,5.4,2026-03-29T21:12:38.028607
360049306,Kennedy Charter School,NY,36004,87.4,70.4,92.6,86.3,100.0,thriving,32,1,-0.9,2026-03-29T21:12:38.028607
230017086,Twain Magnet School,ME,23001,87.3,93.7,91.7,84.3,91.2,thriving,33,4,-3.9,2026-03-29T21:12:38.028607
330048843,Pleasant Middle School,NH,33004,87.3,75.5,78.4,91.0,80.5,thriving,34,3,4.1,2026-03-29T21:12:38.028607
240012584,Lincoln Elementary,MD,24001,87.2,82.4,91.5,78.4,87.5,thriving,35,2,1.9,2026-03-29T21:12:38.028607
160033932,Freedom Junior High School,ID,16003,86.9,97.6,87.1,76.3,98.9,thriving,36,2,4.3,2026-03-29T21:12:38.028607
310042989,Pioneer Magnet School,NE,31004,86.8,86.0,84.6,81.4,97.7,thriving,37,1,3.7,2026-03-29T21:12:38.028607
090042343,Pioneer Preparatory School,CT,09004,86.3,74.0,72.9,75.1,74.2,thriving,38,2,-3.0,2026-03-29T21:12:38.028607
010023948,Innovation High School,AL,01002,86.1,98.6,88.9,83.7,88.7,thriving,39,1,-1.2,2026-03-29T21:12:38.028607
230035739,Fairview High School,ME,23003,85.8,85.7,89.2,100.0,84.8,thriving,40,5,2.6,2026-03-29T21:12:38.028607
550017913,Southfield Magnet School,WI,55001,85.7,82.0,76.6,90.2,95.9,thriving,41,1,6.2,2026-03-29T21:12:38.028607
530032198,Centennial Magnet School,WA,53003,85.1,67.5,75.3,76.2,92.4,thriving,42,2,1.5,2026-03-29T21:12:38.028607
510041702,Pioneer Magnet School,VA,51004,84.8,81.3,79.4,85.3,84.6,thriving,43,3,-3.9,2026-03-29T21:12:38.028607
340022875,Fairview Elementary School,NJ,34002,84.5,90.4,83.1,92.4,77.6,thriving,44,3,-6.8,2026-03-29T21:12:38.028607
060027581,Jefferson Charter School,CA,06002,84.3,86.6,80.6,92.2,71.9,thriving,45,2,0.6,2026-03-29T21:12:38.028607
080021645,Sunset Elementary,CO,08002,84.3,73.8,80.6,80.9,92.4,thriving,46,1,2.9,2026-03-29T21:12:38.028607
