nces_id,year,state,county_fips,composite_score,education_score,health_score,environment_score,safety_score
210038861,2022,KY,21003,100.0,100.0,100.0,100.0,100.0
210038861,2023,KY,21003,100.0,100.0,100.0,100.0,100.0
210038861,2024,KY,21003,100.0,99.1,96.7,98.5,100.0
560029841,2022,WY,56002,97.0,100.0,100.0,100.0,99.4
560029841,2023,WY,56002,100.0,99.9,100.0,100.0,94.6
560029841,2024,WY,56002,99.6,100.0,100.0,100.0,100.0
470047638,2022,TN,47004,100.0,99.6,97.7,94.7,100.0
470047638,2023,TN,47004,95.6,98.9,96.1,93.6,93.6
470047638,2024,TN,47004,96.0,96.5,100.0,94.6,100.0
390021379,2022,OH,39002,95.9,100.0,84.0,93.5,95.2
390021379,2023,OH,39002,99.2,96.6,89.4,94.6,100.0
390021379,2024,OH,39002,98.1,99.5,90.4,100.0,96.7
270042080,2022,MN,27004,91.9,99.8,100.0,95.8,90.9
270042080,2023,MN,27004,97.5,100.0,100.0,100.0,95.4
270042080,2024,MN,27004,94.2,100.0,100.0,100.0,98.9
060016221,2022,CA,06001,98.0,88.6,82.7,100.0,100.0
060016221,2023,CA,06001,100.0,84.9,77.0,99.5,98.8
060016221,2024,CA,06001,95.1,89.2,84.0,96.3,100.0
500033518,2022,VT,50003,96.6,84.1,99.5,84.2,95.7
500033518,2023,VT,50003,99.8,91.4,95.8,84.7,100.0
500033518,2024,VT,50003,98.6,86.6,100.0,86.9,100.0
090021144,2022,CT,09002,92.9,81.2,87.0,100.0,95.6
090021144,2023,CT,09002,96.8,79.4,83.4,98.7,87.4
090021144,2024,CT,09002,92.1,82.4,82.6,98.5,89.8
290021339,2022,MO,29002,96.3,100.0,100.0,96.8,95.5
290021339,2023,MO,29002,97.1,97.4,99.5,99.9,100.0
290021339,2024,MO,29002,94.7,91.1,95.0,95.8,96.4
230032374,2022,ME,23003,95.1,86.4,87.6,91.1,98.6
230032374,2023,ME,23003,90.9,82.4,91.8,95.3,90.9
230032374,2024,ME,23003,94.8,82.8,91.6,91.6,100.0
510045699,2022,VA,51004,97.0,100.0,100.0,100.0,100.0
510045699,2023,VA,51004,91.3,100.0,95.6,100.0,87.5
510045699,2024,VA,51004,93.7,98.6,100.0,100.0,99.1
340044955,2022,NJ,34004,88.2,98.4,96.8,83.4,80.0
340044955,2023,NJ,34004,94.1,100.0,100.0,92.5,84.5
